cargo fmt --all --check	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_fmt_--all_--check.log
cargo check --workspace --all-features	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_check_--workspace_--all-features.log
cargo test -p turbo-quant	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_test_-p_turbo-quant.log
cargo test -p semantic-memory --features turbo-quant-codec	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_test_-p_semantic-memory_--features_turbo-quant-codec.log
cargo clippy -p turbo-quant --all-targets --all-features -- -D warnings	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_clippy_-p_turbo-quant_--all-targets_--all-features_--_-D_warnings.log
cargo clippy -p semantic-memory --all-targets --all-features -- -D warnings	101	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_clippy_-p_semantic-memory_--all-targets_--all-features_--_-D_warnings.log
scripts/p31_turboquant_gates.sh	101	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_p31_turboquant_gates.log
scripts/p31_turboquant_gates.sh (rerun)	101	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_p31_turboquant_gates_rerun.log
scripts/p31_turboquant_gates.sh (clean rerun)	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_p31_turboquant_gates_clean_rerun.log
cargo clippy -p semantic-memory --all-targets --all-features -- -D warnings (rerun)	0	docs/audits/p31-turboquant-evidence-grade-retrieval-20260512/final_cargo_clippy_-p_semantic-memory_--all-targets_--all-features_--_-D_warnings_rerun.log
